Gene names (ordered locus ),dataset_effect_log2FC,p_value,n_obs,n_growth_rates,mean_formate,mean_phosphate,fdr
MMP0081,-0.7080809531827139,0.12800686940788814,12,2,-0.09806366713872354,0.6100172860439906,0.3652485759189158
MMP1148,-0.9363426940929996,0.1281882021253887,11,2,-0.6647347175283256,0.3006508147694294,0.3652485759189158
MMP1523,-0.3914693646913995,0.12935196603546095,9,2,-0.3118426627606764,0.06229999091154201,0.3668892127551256
MMP1113,0.5119966944066824,0.13259631552242276,11,2,-0.1327313677116329,-0.6219552940543427,0.37438959676919364
MMP1050,-0.5028141645789911,0.13404712233839872,12,2,-0.4606798579348892,0.04213430664410214,0.3747245250988551
MMP0720,1.4435581198065424,0.13432373071415923,6,2,0.8125770606438751,-0.6088751218911723,0.3747245250988551
MMP1507,0.4058467430194862,0.13460157976764667,12,2,-0.729287416226561,-1.1351341592460473,0.3747245250988551
MMP0738,3.6168038106899183,0.1351170162616064,5,2,1.4229661880775892,-0.4991690477230331,0.3747245250988551
MMP1157,-1.3257145481617183,0.13795197292989453,6,2,-0.009933336873512943,0.7108694450460615,0.38089394295687695
MMP0902,-1.1937296983170183,0.1393315107716594,6,2,-0.6966819333720798,0.848165239162417,0.383008205821654
MMP0983,0.4610881383325915,0.14140527185950685,12,2,-0.06528708219444863,-0.5263752205270406,0.3870039019312819
MMP0063,-1.9111636341948048,0.14276678596046474,5,2,0.23320879393913874,2.221671907755329,0.38902390584860264
MMP0358,-1.1929439178399504,0.14418259773679526,8,2,-0.3130757164886402,1.3816326488932305,0.3895938318620494
MMP0267,1.7710341754472492,0.14422463967970098,6,2,0.76902443045995,-0.6859771042506756,0.3895938318620494
MMP1261,-1.1752804410333246,0.1462555069604318,9,2,-1.3974548244878384,-0.30558750472347734,0.3908563590976446
MMP0212,0.5454870783550159,0.14676813728059682,12,2,-0.18256796619871482,-0.7280550445537309,0.3908563590976446
