Gene names (ordered locus ),comparison,mean_formate,mean_phosphate,log2FC,n_formate,n_phosphate,p_value,fdr
MMP0038,formate_vs_phosphate,-0.9536978724544541,1.1684066922645275,-2.1221045647189816,7,2,0.0454458493720188,0.15432653015914716
MMP1562,formate_vs_phosphate,0.5616783251020777,-0.15544040434222794,0.7171187294443057,11,11,0.04637057875400107,0.15665086708605544
MMP1045,formate_vs_phosphate,-0.2419550380479544,-0.6754045235145836,0.4334494854666292,12,12,0.046964936588619,0.15784092090608035
MMP1070,formate_vs_phosphate,-0.1689398026702619,0.45480905901630475,-0.6237488616865666,12,12,0.04732262534002527,0.1582274447266486
MMP1261,formate_vs_phosphate,-1.3558597844749412,-0.4590062982936449,-0.8968534861812962,4,12,0.05008222780114533,0.16660006390993243
MMP0257,formate_vs_phosphate,0.3561205476145768,-0.02628587515102634,0.3824064227656031,12,12,0.05040114846040648,0.16680989236642144
MMP0087,formate_vs_phosphate,0.11727872237248636,0.684190503767859,-0.5669117813953726,11,12,0.050998037250149286,0.1679108611012211
MMP0091,formate_vs_phosphate,0.26789472432322975,1.3134402294753365,-1.0455455051521068,12,10,0.05124886711525,0.1679108611012211
MMP0701,formate_vs_phosphate,0.7116806223473274,-0.5313299448432097,1.2430105671905372,4,3,0.05181462283054387,0.16836418619980612
MMP1697,formate_vs_phosphate,-1.018279712944333,-1.8774532208071535,0.8591735078628204,12,11,0.05190368316895863,0.16836418619980612
MMP1543,formate_vs_phosphate,-0.264654940766138,-0.7588306914266029,0.4941757506604649,12,12,0.05281704544148513,0.1704787803358827
MMP0116,formate_vs_phosphate,0.1871840591045446,1.0147187587544835,-0.8275346996499389,12,12,0.053123437463600424,0.17062306022791862
MMP1223,formate_vs_phosphate,0.3817848157148056,1.7058775106007664,-1.3240926948859608,11,7,0.054113957762666004,0.1729524532414619
MMP0669,formate_vs_phosphate,-0.1326203962476334,-0.6607371310858539,0.5281167348382205,12,12,0.05544209371043654,0.1745468747813687
