Gene names (ordered locus ),matched_growth_rates,log2FC,median_log2FC,mean_p_value,min_p_value,mean_fdr,fdr
MMP0051,2,0.18947284205593218,0.18947284205593218,0.1476918906424044,0.13594229885028578,0.5062964287804113,0.7165132954846829
MMP1288,1,0.6307376941683999,0.6307376941683999,0.14862804979870345,0.14862804979870345,0.5083814565552824,0.7165132954846829
MMP1222,2,0.8006444306654833,0.8006444306654833,0.15132146891702808,0.01919511839074248,0.4761507070806368,0.7165132954846829
MMP1549,2,-0.5077026503101372,-0.5077026503101372,0.15174985649951228,0.15174985649951228,0.5100481287900274,0.7165132954846829
MMP0952,2,1.408923260536307,1.408923260536307,0.1528122717884673,0.0017435300129154557,0.4106463005534087,0.7165132954846829
MMP0980,2,0.9143744924942256,0.9143744924942256,0.1536083631448795,0.022063792571990357,0.47636198775033567,0.7165132954846829
MMP0157,2,-0.09230716170781827,-0.09230716170781827,0.15420556810203687,0.1497133169063629,0.5113747955755952,0.7165132954846829
MMP1670,2,0.14632436172591734,0.14632436172591734,0.15669042610467857,0.06861435974639522,0.5090930406994825,0.7165132954846829
MMP0290,2,0.7354255078122841,0.7354255078122841,0.15670715761529397,0.04900586191203894,0.4914605718290066,0.7165132954846829
MMP1161,1,-2.390773044741757,-2.390773044741757,0.15697166310551872,0.15697166310551872,0.5137775554521208,0.7165132954846829
MMP1115,2,0.0001325753363955462,0.0001325753363955462,0.1572302479260625,0.12172193624935483,0.5111185085679952,0.7165132954846829
MMP0325,2,-0.6920476451001203,-0.6920476451001203,0.15884043634164538,0.06739335131783693,0.5075937966067748,0.7165132954846829
MMP1403,2,1.2310699611503861,1.2310699611503861,0.1596396563824614,0.1585092373365413,0.514546779405983,0.7165132954846829
MMP1021,2,1.7918852526254474,1.7918852526254474,0.16019818870127805,0.07323239596946332,0.5176594783765165,0.7165132954846829
MMP1439,2,-1.761123568270204,-1.761123568270204,0.1619252410533764,0.04069828789450195,0.4945874907826566,0.7165132954846829
MMP1513,2,-2.8172025966222805,-2.8172025966222805,0.16231929971042194,0.16231929971042194,0.5185646274577177,0.7165132954846829
MMP1189,2,2.0789477891583594,2.0789477891583594,0.16261420629080026,0.1394829980602461,0.5200266302541493,0.7165132954846829
MMP0045,2,-0.9966727304990339,-0.9966727304990339,0.16288782132897894,0.07650094352672034,0.5211841287468998,0.7165132954846829
MMP1274,2,1.4616058608677682,1.4616058608677682,0.16345101468727297,0.08986249411467602,0.5318690287148511,0.7165132954846829
MMP1151,2,0.5833541727703113,0.5833541727703113,0.16434718391210748,0.16434718391210748,0.5198956667546406,0.7165132954846829
MMP1167,2,-0.9982333059831601,-0.9982333059831601,0.16740768303812928,0.16740768303812928,0.5203645402292327,0.7165132954846829
MMP1002,1,0.4113379693619895,0.4113379693619895,0.16777377146010242,0.16777377146010242,0.5203645402292327,0.7165132954846829
MMP0063,1,-1.911163634194804,-1.911163634194804,0.16824417749420167,0.16824417749420167,0.5203645402292327,0.7165132954846829
MMP1462,2,-1.0828664434693693,-1.0828664434693693,0.16993165715756645,0.09276097777582751,0.5339751755576396,0.7165132954846829
MMP0641,2,0.6096538798837958,0.6096538798837958,0.17143166234145962,0.12857202611317634,0.5270724261235743,0.7165132954846829
MMP0577,2,0.7551320381255523,0.7551320381255523,0.17173937852726068,0.17173937852726068,0.5211969718930454,0.7165132954846829
MMP0823,2,0.7140131572361867,0.7140131572361867,0.17198016083603973,0.1049412161982497,0.5318690287148511,0.7165132954846829
MMP1711,2,-0.5984998805540293,-0.5984998805540293,0.17210197308265013,0.10829582463905746,0.5318690287148511,0.7165132954846829
MMP1113,2,0.49346906266212254,0.49346906266212254,0.17500038564497006,0.0338574325758697,0.4981086344205674,0.7165132954846829
MMP1564,2,0.6130126975511846,0.6130126975511846,0.17858488975168524,0.11022968170422881,0.5339751755576396,0.7165132954846829
MMP0245,2,-1.0520045404540603,-1.0520045404540603,0.17910650971039704,0.002374825625395768,0.4298091974300413,0.7165132954846829
MMP1134,2,1.1083181275299017,1.1083181275299017,0.1813173603288499,0.03459701698326662,0.5023185723434798,0.7165132954846829
MMP0340,2,-1.0227111632585726,-1.0227111632585726,0.181885668480307,0.02304923674535656,0.5006630667712221,0.7165132954846829
MMP1434,2,0.629540196356944,0.629540196356944,0.1849021888036706,0.001587174849063642,0.431509650056453,0.7165132954846829
MMP1321,2,0.749689131945681,0.749689131945681,0.18660174001523744,0.010463939278055211,0.4791373126598356,0.7165132954846829
MMP0923,2,-1.0399105710320893,-1.0399105710320893,0.1901904728755917,0.12400801357171584,0.5444287725880863,0.7165132954846829
MMP1509,2,0.6012213842021341,0.6012213842021341,0.1921069509715782,0.06591167224886035,0.5289481570094363,0.7165132954846829
MMP1419,2,0.7287379893724231,0.7287379893724231,0.19634134748056803,0.0035195728306971767,0.4329670906105884,0.7165132954846829
MMP0382,2,1.2543278773037523,1.2543278773037523,0.19881929322353722,0.19881929322353722,0.5517596483445959,0.7165132954846829
MMP1328,1,-2.0668773650637187,-2.0668773650637187,0.20177316698890194,0.20177316698890194,0.5580469304150202,0.7165132954846829
MMP0066,2,-0.26556963896158886,-0.26556963896158886,0.20213911093460765,0.05177373637751164,0.5281573472026424,0.7165132954846829
MMP0627,2,0.6723351027482032,0.6723351027482032,0.20404173821138788,0.14117388402315292,0.5555352327125676,0.7165132954846829
MMP0654,2,-0.5451583365517503,-0.5451583365517503,0.20421339296816743,0.04819138456313186,0.5267718334296855,0.7165132954846829
MMP1609,2,0.5279048628156492,0.5279048628156492,0.20561048123018202,0.1178967863549069,0.5543547120379668,0.7165132954846829
MMP0034,2,-1.0131133040254467,-1.0131133040254467,0.20831223408539443,0.20831223408539443,0.566422029760286,0.7165132954846829
MMP0082,2,-1.134550219434087,-1.134550219434087,0.21204870998032763,0.061111564486382206,0.5401657696970081,0.7165132954846829
MMP1369,2,0.38141360194448054,0.38141360194448054,0.2134702991335674,0.1382386056211807,0.563376811265829,0.7165132954846829
MMP0961,2,-1.1715030025743556,-1.1715030025743556,0.21443136843915156,0.04077003916062905,0.5258604613730196,0.7165132954846829
MMP1018,2,-0.030164762532083722,-0.030164762532083722,0.21711090328805482,0.157406197172519,0.5663085351194505,0.7165132954846829
MMP1270,1,-0.9979626258794783,-0.9979626258794783,0.21736798233733665,0.21736798233733665,0.5764717997329915,0.7165132954846829
MMP0716,2,0.7221684133063933,0.7221684133063933,0.22005617814670256,0.22005617814670256,0.5804206551662345,0.7165132954846829
MMP0618,2,-0.5223876029662327,-0.5223876029662327,0.2201707119031524,0.050168767222798526,0.5286669651077084,0.7165132954846829
MMP1427,2,0.07300917630221593,0.07300917630221593,0.2203653232238895,0.11935727887669802,0.5643993181304654,0.7165132954846829
MMP1365,2,0.6813413399976037,0.6813413399976037,0.22267552267531954,0.06247667753625667,0.5433813500601221,0.7165132954846829
MMP1122,2,0.8133113331418494,0.8133113331418494,0.2232195877559139,0.17582110524729289,0.5696218754592564,0.7165132954846829
MMP1420,2,0.48315275295534976,0.48315275295534976,0.22436231520760633,0.007437208843229476,0.4819026617117883,0.7165132954846829
MMP1310,2,1.141743171956848,1.141743171956848,0.2258494779042658,0.0450682359768588,0.5310619346699058,0.7165132954846829
MMP1550,2,-0.6839732555320344,-0.6839732555320344,0.22638450868005014,0.11317020270485852,0.5710096122885836,0.7165132954846829
MMP1033,2,-1.288556799848636,-1.288556799848636,0.2264633165936819,0.14790258692211786,0.5758282846880531,0.7165132954846829
MMP0358,1,-1.1929439178399508,-1.1929439178399508,0.2265631633948454,0.2265631633948454,0.5870942519691559,0.7165132954846829
MMP0633,2,1.146666600712286,1.146666600712286,0.22777166690169948,0.0920047047360035,0.5740962943892929,0.7165132954846829
MMP0830,2,-0.13625845524499647,-0.13625845524499647,0.22785584918453403,0.04866208679304569,0.5338154924172438,0.7165132954846829
MMP0259,2,0.9074908042965115,0.9074908042965115,0.22928541863745341,0.05717435022910948,0.5433828310795319,0.7165132954846829
MMP0736,2,0.5088200956915612,0.5088200956915612,0.22964184012688837,0.01788953589035856,0.5218912845786011,0.7165132954846829
MMP0073,2,0.1063995386883109,0.1063995386883109,0.2300073220027824,0.10512253298905445,0.5727299280507252,0.7165132954846829
MMP1261,2,-1.2468578769117538,-1.2468578769117538,0.23030757893023338,0.23030757893023338,0.5882262174260314,0.7165132954846829
MMP0989,2,0.7860504861071598,0.7860504861071598,0.23106245248781573,0.05339248005034624,0.5385264913591671,0.7165132954846829
MMP1026,2,-0.17882337739885748,-0.17882337739885748,0.23504752078271596,0.012543681339231377,0.5023706515805781,0.7165132954846829
MMP1616,2,-0.8127455411431095,-0.8127455411431095,0.236444888578218,0.11045729713002198,0.5740962943892929,0.7165132954846829
MMP0825,2,-0.06561077873666904,-0.06561077873666904,0.2364801614103768,0.15978098832121784,0.5815034495685232,0.7165132954846829
MMP1392,2,-0.8056758932412817,-0.8056758932412817,0.2366785272983195,0.10600057330651022,0.5745079936956214,0.7165132954846829
MMP1691,2,0.7740022226984309,0.7740022226984309,0.2389355483473382,0.009188854584082837,0.5022409702156767,0.7165132954846829
MMP1138,1,0.9187529003693091,0.9187529003693091,0.23941903373229198,0.23941903373229198,0.5988569112476968,0.7165132954846829
MMP1289,2,0.3723371027726077,0.3723371027726077,0.24035555711339937,0.03486244835315388,0.5314059842929102,0.7165132954846829
MMP1031,2,0.4097648668408025,0.4097648668408025,0.2410742644607035,0.17925151666227573,0.5881509451463174,0.7165132954846829
MMP0127,2,0.006898437909851507,0.006898437909851507,0.24488729478790644,0.22864122853978286,0.5993640196184848,0.7165132954846829
MMP1146,2,1.4953384179650995,1.4953384179650995,0.24597583255073346,0.1580552532170559,0.589449543711404,0.7165132954846829
MMP0971,2,-0.26583667131203326,-0.26583667131203326,0.2468993984718641,0.15788982727478348,0.5900443951846039,0.7165132954846829
MMP1470,2,-0.6466003366923571,-0.6466003366923571,0.24826092585622517,0.057872366886113746,0.5526489646902473,0.7165132954846829
MMP1401,2,0.0016492974270874705,0.0016492974270874705,0.2503503537880055,0.04582213642059855,0.543731165741905,0.7165132954846829
MMP0345,2,-0.5333213293175783,-0.5333213293175783,0.2518110624015991,0.0033598225978339617,0.46512790344230626,0.7165132954846829
MMP0001,2,0.20879829994797633,0.20879829994797633,0.2520669698987233,0.2520669698987233,0.6049311205687805,0.7165132954846829
MMP1410,2,0.9324506969863638,0.9324506969863638,0.25264104324988523,0.042174863429986185,0.545830077973484,0.7165132954846829
MMP1411,2,0.656987389419983,0.656987389419983,0.2527000081696961,0.012492683949937416,0.5139682562893302,0.7165132954846829
