Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP0250,xs,s,0.4508302683434267,0.01987586085609616,0.43095440748733055,3,3,0.331626680424197,0.8949643824593566
MMP1523,xs,s,-0.35173725756828855,0.08931850400036194,-0.4410557615686505,2,3,0.3321772874622656,0.8949643824593566
MMP0650,xs,s,0.808364514936127,-0.15126170886940557,0.9596262238055326,3,3,0.3344086694495922,0.8949643824593566
MMP0308,xs,s,0.3450321352207526,0.7477599532103437,-0.4027278179895911,3,3,0.33450617193049453,0.8949643824593566
MMP1013,xs,s,0.6607281459486426,0.27330954798244517,0.38741859796619743,3,3,0.3356904697661287,0.8949643824593566
MMP1251,xs,s,0.620458973567262,0.10843865087214062,0.5120203226951213,3,3,0.33979449136753176,0.8949643824593566
MMP0549,xs,s,-0.340640998431217,-0.043266426730348834,-0.2973745717008681,2,3,0.3426317157499707,0.8949643824593566
MMP0568,xs,s,0.44167331105893237,-0.11363801908894934,0.5553113301478817,2,3,0.34343592138105533,0.8949643824593566
MMP0559,xs,s,0.6700457584125963,0.8773257941365203,-0.20728003572392406,3,3,0.3434668910076543,0.8949643824593566
MMP0697,xs,s,-1.2749801290029434,0.2134538332336859,-1.4884339622366294,2,3,0.3436099815400565,0.8949643824593566
MMP1564,xs,s,0.28030712330594626,0.4582986690229225,-0.17799154571697623,3,3,0.3441177288836711,0.8949643824593566
MMP0132,xs,s,0.43200478976003226,-0.1625426314331847,0.5945474211932169,3,3,0.3447718495836993,0.8949643824593566
MMP0542,xs,s,0.6378425638569153,1.1484013485399378,-0.5105587846830225,3,3,0.34520367984708317,0.8949643824593566
MMP0629,xs,s,-0.2165769784583925,-0.5902661066739364,0.3736891282155439,3,3,0.3455407479034453,0.8949643824593566
MMP0654,xs,s,-1.3506302030244732,-1.1063155150607393,-0.2443146879637339,3,3,0.349751247779012,0.8949643824593566
MMP1177,xs,s,0.094672929792531,-0.6285142073273887,0.7231871371199197,2,2,0.3498558017392739,0.8949643824593566
MMP0257,xs,s,0.8327129959102048,0.10413876335618867,0.7285742325540161,3,3,0.35000596200101536,0.8949643824593566
MMP0429,xs,s,0.4284950911181112,-0.08315519993588806,0.5116502910539993,3,3,0.35257962269197884,0.8949643824593566
MMP0947,xs,s,-0.4385050818541754,-1.4007955046473297,0.9622904227931544,3,3,0.3542262992443305,0.8949643824593566
MMP1326,xs,s,0.7085504546335238,-0.9055917001210532,1.614142154754577,3,2,0.35442394296326724,0.8949643824593566
