Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1400,xs,i,0.6035600798210451,-0.0058040129201552175,0.6093640927412003,3,3,0.4428978751264841,0.7845738106680948
MMP1361,xs,i,-0.5090631327447555,-0.4101527689440497,-0.09891036380070578,3,3,0.4431824120141135,0.7845738106680948
MMP0882,xs,i,-1.0631065876269459,-1.8773569443555227,0.8142503567285768,3,2,0.4458518430675371,0.7865203287916764
MMP1410,xs,i,-2.453081583884805,-1.8539108515513119,-0.5991707323334932,3,3,0.44794235307681574,0.7870153513904571
MMP1411,xs,i,-1.401041851449117,-1.109089101062204,-0.29195275038691304,3,3,0.44927423253028087,0.7870153513904571
MMP1679,xs,i,0.6035600800074442,-0.7923944436343665,1.3959545236418107,3,2,0.4509930668974477,0.7872736115526875
MMP0916,xs,i,-0.7433205808918183,-1.210506961142799,0.4671863802509807,3,3,0.45398838223031807,0.7897506232548241
MMP0920,xs,i,0.37539402164017804,0.549889694720089,-0.17449567307991093,3,3,0.4582671010009242,0.7944353550223634
MMP1503,xs,i,-1.7728675927875253,-2.665194979418848,0.8923273866313226,3,2,0.46447822488622015,0.8000351978237876
MMP0066,xs,i,-0.17162508343973717,-0.017979304249754986,-0.15364577918998218,3,3,0.4651135944064108,0.8000351978237876
MMP0156,xs,i,-1.0894236995466438,-1.2689974188339328,0.17957371928728905,3,3,0.4672666992006803,0.8000351978237876
MMP0816,xs,i,-0.15078472180387772,0.4348386858083398,-0.5856234076122175,3,3,0.470185902168253,0.8000351978237876
MMP1472,xs,i,1.798547579968231,1.2370524023440908,0.5614951776241401,3,2,0.47077078721070414,0.8000351978237876
MMP1659,xs,i,-0.07080934279666865,-0.5848756925432717,0.514066349746603,2,2,0.4710786094970406,0.8000351978237876
MMP0836,xs,i,1.1641680929931184,1.6532892951469862,-0.4891212021538678,3,3,0.4763865028444096,0.8025993487568304
MMP0327,xs,i,-0.29993771445195255,0.2594824154675173,-0.5594201299194699,3,3,0.4801434351703114,0.8025993487568304
MMP0076,xs,i,-0.9824581804311353,-0.7395809479493014,-0.2428772324818339,3,3,0.4816449865737043,0.8025993487568304
MMP0982,xs,i,-0.0941430554612707,-1.2207866641914464,1.1266436087301757,3,2,0.4834542475123328,0.8025993487568304
MMP0167,xs,i,0.26156167704787303,0.6373995446459904,-0.3758378675981173,3,3,0.4843711611841391,0.8025993487568304
MMP1373,xs,i,0.16396395148093787,0.501234660180355,-0.3372707086994171,3,3,0.48514299322156546,0.8025993487568304
