Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0064,f,3.0,-0.2968107634928944
MMP0064,m,1.0,1.4012187101069875
MMP0064,m,2.0,1.8090045519567912
MMP0064,m,3.0,0.26491521010178704
MMP0064,s,1.0,0.7428727741606123
MMP0064,s,2.0,1.4737954231704025
MMP0064,s,3.0,1.2557454714952836
MMP0064,xs,1.0,0.7459176132308398
MMP0064,xs,2.0,1.0927432947451563
MMP0064,xs,3.0,-0.7036894392919076
MMP0065,f,1.0,-2.4188898247744506
MMP0065,f,2.0,-0.8134994423555052
MMP0065,m,1.0,-0.3273483706716152
MMP0065,m,2.0,-0.44418384493836033
MMP0065,m,3.0,0.08891680962259199
MMP0065,s,1.0,-0.1124747292584125
MMP0065,s,2.0,1.279387226953135
MMP0065,s,3.0,0.3950627995175776
MMP0065,xs,1.0,-1.416793953163273
MMP0065,xs,2.0,1.1489079850697252
MMP0066,f,1.0,-0.8127512439199914
MMP0066,f,2.0,-0.19410333170545044
MMP0066,f,3.0,-1.0806981383252474
MMP0066,m,1.0,-0.4617601944959128
MMP0066,m,2.0,0.14859199960844635
MMP0066,m,3.0,-0.6353480300716469
MMP0066,s,1.0,0.22371194686910076
MMP0066,s,2.0,0.2582401422985104
MMP0066,s,3.0,0.35207096189883763
MMP0066,xs,1.0,0.8174141923258283
MMP0066,xs,2.0,0.40758246947357546
MMP0066,xs,3.0,-0.42229017693456544
MMP0073,f,1.0,-0.8802549623737858
MMP0073,f,2.0,-0.6477997456932213
MMP0073,f,3.0,-0.38530198424228107
MMP0073,m,1.0,-0.7281882583731031
MMP0073,m,2.0,-0.6541610514321995
MMP0073,m,3.0,1.0788053565944902
MMP0073,s,1.0,-0.4548979008490576
MMP0073,s,2.0,-0.676649883290688
MMP0073,s,3.0,0.6291396324348832
MMP0073,xs,1.0,0.8044425461659129
MMP0073,xs,2.0,0.7158413735460029
MMP0073,xs,3.0,0.5578409218251401
MMP0076,f,1.0,0.9110287543233486
MMP0076,f,2.0,1.3125186003898661
MMP0076,f,3.0,0.48284437811469344
MMP0076,m,1.0,1.1644101789206014
MMP0076,m,2.0,1.0126584354104942
MMP0076,m,3.0,0.38924543623809793
MMP0076,s,1.0,0.7884773648798591
MMP0076,s,2.0,1.040694011255781
MMP0076,s,3.0,1.249392451609103
MMP0076,xs,1.0,0.09986251371461298
MMP0076,xs,2.0,0.08315835818578578
MMP0076,xs,3.0,0.6907702891643058
MMP0077,f,2.0,1.5112304263803982
MMP0077,m,1.0,-0.7492524021010523
MMP0077,m,2.0,0.0922074380970889
MMP0077,s,1.0,-1.0027405491689143
MMP0077,s,2.0,-0.3857996931806216
MMP0079,f,2.0,-0.8546486144273799
MMP0079,f,3.0,-0.0429006814042418
MMP0079,m,1.0,-0.5332423842738286
MMP0079,m,2.0,-0.5228407888133588
MMP0079,m,3.0,-0.8608341883404433
MMP0079,s,1.0,-0.40170403136931526
MMP0079,s,3.0,1.6255319051388426
MMP0079,xs,1.0,1.2580594371700646
MMP0079,xs,2.0,0.006384442472096713
MMP0079,xs,3.0,-0.139235797371172
MMP0080,f,1.0,-0.4660498461154128
MMP0080,f,2.0,-0.7003130940805912
MMP0080,f,3.0,-0.0880898219319447
MMP0080,m,1.0,-0.30589781033193125
MMP0080,m,2.0,-0.4228354249975569
MMP0080,m,3.0,-0.658739940739762
MMP0080,s,1.0,-0.6349982098238155
MMP0080,s,2.0,-0.48524663580604743
MMP0080,s,3.0,0.024713763816396023
MMP0080,xs,1.0,0.31659971444044793
MMP0080,xs,2.0,0.7768523862271778
MMP0080,xs,3.0,-0.04913557092713277
MMP0081,f,1.0,-0.8223428540714695
MMP0081,f,2.0,-0.4425191650504905
MMP0081,f,3.0,-0.43335014584080395
MMP0081,m,1.0,-0.18587157707188295
MMP0081,m,2.0,-0.6130981848346347
MMP0081,m,3.0,0.09868102838684417
MMP0081,s,1.0,-0.5045678299677202
MMP0081,s,2.0,-0.34778725672841254
MMP0081,s,3.0,0.016314747993970157
MMP0081,xs,1.0,-0.09596882202751576
MMP0081,xs,2.0,-0.2725788696410665
MMP0081,xs,3.0,1.4783778537990049
MMP0082,f,1.0,-0.5689927479896518
MMP0082,f,2.0,-0.5345181519769708
MMP0082,f,3.0,-0.7869748330812598
MMP0082,m,1.0,-0.22548615550594694
MMP0082,m,2.0,-0.500136759742675
MMP0082,m,3.0,-0.7069547996962474
MMP0082,s,1.0,-0.6536431884331565
MMP0082,s,2.0,-0.38994243755169317
MMP0082,s,3.0,-0.1669131827352829
MMP0082,xs,1.0,-0.20952181604536024
MMP0082,xs,2.0,-0.30882486852285235
MMP0082,xs,3.0,0.05751268671864499
MMP0083,f,1.0,-0.019822625234017382
MMP0083,f,2.0,0.48081417369281193
MMP0083,f,3.0,-0.6932771769665812
MMP0083,m,1.0,0.38638218379285266
MMP0083,m,2.0,0.10021325517348567
MMP0083,m,3.0,0.10407399014634182
MMP0083,s,1.0,0.2619056460444812
MMP0083,s,2.0,0.4412375669573076
MMP0083,s,3.0,0.23681282503708168
MMP0083,xs,1.0,0.8192296770784977
MMP0083,xs,2.0,0.6121774544103057
MMP0083,xs,3.0,-0.055026976042951925
MMP0086,f,2.0,0.2904244038652997
MMP0086,f,3.0,0.8631455429893993
MMP0086,m,1.0,0.4623973220854416
MMP0086,m,2.0,0.5001356005877876
MMP0086,m,3.0,-0.3205090982937088
MMP0086,s,1.0,0.4059923596758368
MMP0086,s,3.0,0.05810777298254366
MMP0086,xs,1.0,0.22514981713136484
MMP0087,f,1.0,-0.5638417071248184
MMP0087,f,2.0,0.2516978077001036
MMP0087,f,3.0,-0.23616354110904858
MMP0087,m,1.0,-0.20544359809866633
MMP0087,m,2.0,0.4416084183025663
MMP0087,m,3.0,0.19786539135373798
MMP0087,s,1.0,0.2685566364526755
MMP0087,s,2.0,0.18182805824758197
MMP0087,s,3.0,-0.09608281062672153
MMP0087,xs,1.0,0.4971649277794496
MMP0087,xs,2.0,0.5528763632204897
MMP0088,f,1.0,-1.9213901653036336
MMP0088,m,1.0,-1.2584251525812042
MMP0088,m,2.0,-2.1015981400078068
MMP0088,s,1.0,-1.9934728859729542
MMP0088,s,2.0,-1.1447055409433167
MMP0091,f,1.0,0.5230569178537026
MMP0091,f,2.0,-0.47873533120471423
MMP0091,f,3.0,-0.854220552428809
MMP0091,m,1.0,0.6883978796307257
MMP0091,m,2.0,0.3106346675944293
MMP0091,m,3.0,-0.7657997537838298
MMP0091,s,1.0,0.6858619649131844
MMP0091,s,2.0,0.7617858714937089
MMP0091,s,3.0,0.6184607762573379
MMP0091,xs,1.0,0.3506155640825277
MMP0091,xs,2.0,0.452480839074126
MMP0091,xs,3.0,0.922197848396367
MMP0092,f,1.0,0.14291361083005635
MMP0092,f,2.0,0.144185405687756
MMP0092,f,3.0,-0.06215463788720121
MMP0092,m,1.0,0.09935199594096118
MMP0092,m,2.0,-0.04722833032887983
MMP0092,m,3.0,-0.13204442672734454
MMP0092,s,1.0,-0.09678378755773447
MMP0092,s,2.0,-0.14498490198471248
MMP0092,s,3.0,-0.06622523710842872
MMP0092,xs,1.0,-1.019933521195698
MMP0092,xs,2.0,-0.5143045504731214
MMP0092,xs,3.0,0.8713067449364628
MMP0093,f,3.0,-0.06642736173897607
MMP0093,m,3.0,-0.08051443813165937
MMP0093,s,3.0,-0.6281623826695795
MMP0093,xs,3.0,-0.16968578919360897
MMP0095,s,2.0,-1.9714308478032292
MMP0103,f,1.0,-0.6721055285339862
MMP0103,f,2.0,-0.5852781416477635
MMP0103,f,3.0,-1.0423724851443739
MMP0103,m,1.0,-0.6710794146573628
MMP0103,m,2.0,-0.70753381804423
MMP0103,m,3.0,-1.2670635811244075
MMP0103,s,1.0,-0.8206621119015214
MMP0103,s,2.0,-0.9795813883019213
MMP0103,s,3.0,-0.930108883429253
MMP0103,xs,1.0,-0.5560159319981407
MMP0103,xs,2.0,-0.7572349940063945
MMP0103,xs,3.0,1.3029144615934622
MMP0108,f,1.0,0.15779704657291874
MMP0108,f,2.0,0.4206465327145869
MMP0108,f,3.0,-0.49472370934959936
MMP0108,m,1.0,-0.04265009122516383
MMP0108,m,2.0,-0.019095759064724566
MMP0108,m,3.0,1.5541042258859321
MMP0108,s,1.0,0.07615522376912442
MMP0108,s,2.0,-0.11995925908198246
MMP0108,s,3.0,0.4906711291126112
MMP0108,xs,1.0,-0.10577591208942666
MMP0108,xs,2.0,0.6422803320778167
MMP0108,xs,3.0,1.3572704756795595
MMP0113,f,1.0,0.27381424458703657
MMP0113,f,2.0,-1.5864059175908247
MMP0113,f,3.0,-0.7269367679955795
MMP0113,m,1.0,0.3762903833370515
MMP0113,m,2.0,-1.3959286763311392
MMP0113,m,3.0,-2.1469727400253853
MMP0113,s,2.0,-0.16165326347876927
MMP0113,s,3.0,-0.7880655822910151
MMP0113,xs,1.0,0.32337810317849813
MMP0113,xs,2.0,-0.9015731166742783
MMP0113,xs,3.0,2.62993940943954
MMP0115,m,2.0,1.4303292872524302
MMP0115,s,1.0,2.5095642290891673
MMP0115,s,2.0,-0.9038448330694526
MMP0116,f,1.0,-0.18360143611974364
MMP0116,f,2.0,0.26514931631084077
MMP0116,f,3.0,-1.0455680082781136
MMP0116,m,1.0,0.14225706662212267
MMP0116,m,2.0,0.7619737727047275
MMP0116,m,3.0,-0.0574416549995756
MMP0116,s,1.0,0.17274478745511238
MMP0116,s,2.0,0.4415032852281225
MMP0116,s,3.0,-0.02212808256875723
MMP0116,xs,1.0,-0.577312383529675
MMP0116,xs,2.0,-0.06398357899477021
MMP0116,xs,3.0,2.4126156254242446
MMP0121,f,3.0,-3.083141235300246
MMP0121,m,1.0,-1.5994620704162712
MMP0121,m,3.0,-1.2209504471625414
MMP0121,s,1.0,-3.0709665213541437
MMP0121,s,3.0,0.10452399221075415
MMP0121,xs,1.0,-1.1415703821908965
MMP0121,xs,2.0,-0.3864683470820729
MMP0123,f,1.0,-0.35547290690045424
MMP0123,f,2.0,-0.07454311690285151
MMP0123,f,3.0,0.29513524900081806
MMP0123,m,1.0,-0.6091447328497368
MMP0123,m,2.0,-0.16577726914147967
MMP0123,m,3.0,0.1639209704497492
MMP0123,s,1.0,0.23875784761247887
MMP0123,s,2.0,0.27263119406135616
MMP0123,s,3.0,-1.9511191001033543
MMP0123,xs,1.0,-1.041118664606017
MMP0123,xs,2.0,-0.08097914750516959
MMP0123,xs,3.0,0.6285403192627604
MMP0125,f,1.0,0.5751699597650924
MMP0125,f,2.0,0.2552517739383539
MMP0125,f,3.0,0.3655829297997633
MMP0125,m,1.0,-0.09895882624272923
MMP0125,m,2.0,0.6813153732507695
MMP0125,m,3.0,0.8486636221676394
MMP0125,s,1.0,-0.050662010424197934
MMP0125,s,2.0,-0.6531568500349166
MMP0125,s,3.0,-0.2648903659824592
MMP0125,xs,1.0,1.1491165341919485
MMP0125,xs,2.0,1.7176490081733153
MMP0125,xs,3.0,2.168591681543263
MMP0126,f,1.0,-1.6574452545226799
MMP0126,f,2.0,-1.9682540511457276
MMP0126,f,3.0,-1.5583841178280717
MMP0126,m,1.0,-1.3364276645824773
MMP0126,m,2.0,-1.0354832606770716
MMP0126,s,1.0,-1.6574452545226799
MMP0126,s,3.0,-1.342098650341063
MMP0126,xs,1.0,-1.2431331441181013
MMP0126,xs,2.0,-2.424460263485594
MMP0127,f,1.0,0.1641966165421553
MMP0127,f,2.0,0.657400802422215
MMP0127,f,3.0,-0.17124963741491098
MMP0127,m,1.0,0.14561404610812193
MMP0127,m,2.0,1.04489703510554
MMP0127,m,3.0,-0.30976053676342336
MMP0127,s,1.0,-0.27931065530092947
MMP0127,s,2.0,-0.22279502150998465
MMP0127,s,3.0,-0.6543161153034188
MMP0127,xs,1.0,-0.19782147273698725
MMP0127,xs,2.0,-0.6477741443923906
MMP0127,xs,3.0,-0.6842414896887359
MMP0129,f,1.0,-1.7710274302398392
MMP0129,f,2.0,0.5058909297299573
MMP0129,m,2.0,0.40898409298064314
MMP0129,s,1.0,-0.08921427577892896
