Gene names (ordered locus ),log2FC,p_value,fdr,comparison,mean_formate,mean_phosphate,n_formate,n_phosphate
MMP1148,-1.1092610307510031,0.0008525070098951031,0.013556940742722129,formate_vs_phosphate,-0.7114934866829749,0.3977675440680282,11,12
MMP0657,0.8355971668694644,0.0010180757736325328,0.015804414390676463,formate_vs_phosphate,0.21235306422168404,-0.6232441026477804,11,12
MMP0386,0.7701183349415153,0.0011382931674536615,0.016178506149594922,formate_vs_phosphate,1.118218839345938,0.3481005044044228,12,12
MMP1032,-0.5767312044225729,0.0011211228480223648,0.016178506149594922,formate_vs_phosphate,-0.37769524148411365,0.19903596293845918,12,12
MMP1616,-0.9262062404673148,0.0010737383988575838,0.016178506149594922,formate_vs_phosphate,-0.8863602694701975,0.03984597099711723,12,12
MMP1154,-1.6827672781495924,0.0011414283479775557,0.016178506149594922,formate_vs_phosphate,0.5998016300755779,2.28256890822517,12,8
MMP1444,2.5083404968748217,0.0012538115369830937,0.017393300470488874,formate_vs_phosphate,1.5714027523227265,-0.936937744552095,5,9
MMP1085,-1.8999911048839686,0.0014839759748437088,0.020157340324960377,formate_vs_phosphate,-1.1546217736879378,0.7453693311960308,5,2
MMP1545,0.8852299153120687,0.001807047257280593,0.023563896234938934,formate_vs_phosphate,-0.04753464765609724,-0.932764562968166,12,12
MMP1321,0.6624845532891679,0.0017952636868974914,0.023563896234938934,formate_vs_phosphate,-0.12849726086285262,-0.7909818141520205,12,12
