Gene names (ordered locus ),growth_rate,mean_formate,mean_phosphate,log2FC_within_growth_rate,n_formate,n_phosphate,p_value_within_growth_rate,fdr_within_growth_rate
MMP0064,xs,0.3783238228946962,1.0110242203617248,-0.6327003974670287,3,3,0.39376756289842124,0.6903774316971882
MMP0065,xs,-0.13394298404677385,-0.6326635773422764,0.49872059329550256,2,1,,
MMP0066,xs,0.2675688282882794,-0.17162508343973717,0.4391939117280166,3,3,0.35250448549170366,0.6805787099194448
MMP0073,xs,0.692708280512352,0.25667941882369916,0.43602886168865285,3,3,0.10512253298905445,0.4648811461820055
MMP0076,xs,0.2912637203549015,-0.9824581804311353,1.2737219007860368,3,3,0.02017933488620814,0.32822614781107856
MMP0079,xs,0.37506936075699643,1.301610537206485,-0.9265411764494886,3,2,0.34288453494942134,0.6746183533151217
MMP0080,xs,0.3481055099134976,-0.15292681206099734,0.501032321974495,3,3,0.16806419421772048,0.5203645402292327
MMP0081,xs,0.3699433873768075,0.5025308619105417,-0.13258747453373426,3,3,0.8413993367154012,0.9370771137082214
MMP0082,xs,-0.15361133261652252,0.417396649937738,-0.5710079825542606,3,3,0.36298585547427303,0.6833114425965802
MMP0083,xs,0.45879338514861717,0.603560080236948,-0.1447666950883308,3,3,0.7677561510691352,0.9030230306621178
MMP0086,xs,0.22514981713136484,0.9139565554612908,-0.688806738329926,1,1,,
MMP0087,xs,0.5250206454999696,0.6367386376182265,-0.11171799211825684,2,3,0.4589390588897163,0.7223626162686917
MMP0091,xs,0.5750980838510068,3.0315134312222756,-2.456415347371269,3,3,0.0007373340325951938,0.1277909142135074
MMP0092,xs,-0.2209771089107855,0.13188091343049121,-0.3528580223412767,3,3,0.6183662999717814,0.8212034874692361
MMP0093,xs,-0.16968578919360897,0.4652142469211901,-0.6349000361147991,1,3,,
MMP0103,xs,-0.0034454881370243515,-1.1382931544628037,1.1348476663257794,3,3,0.21966533889409467,0.5804206551662345
MMP0108,xs,0.6312582985559831,0.7108694448207791,-0.07961114626479593,3,3,0.8870666959976601,0.9521095065310826
MMP0113,xs,0.6839147986479199,2.3673364240557175,-1.6834216254077976,3,1,,
MMP0116,xs,0.5904398876332665,1.8277018601821646,-1.237261972548898,3,3,0.37279000218345393,0.6856893815323692
MMP0123,xs,-0.16451916428280874,2.534309422955216,-2.6988285872380247,3,3,0.02413437080004649,0.33057766752354173
MMP0125,xs,1.678452407969509,0.9308020231314295,0.7476503848380794,3,3,0.5154933216857384,0.7595091862888809
MMP0126,xs,-1.8337967038018477,1.0481936585644263,-2.881990362366274,2,3,0.05838070110018982,0.3897415080343707
MMP0127,xs,-0.5099457022727045,-0.15400523070930125,-0.35594047156340325,3,3,0.22864122853978286,0.5870942519691559
MMP0132,xs,0.43200478976003226,0.13188091348374817,0.3001238762762841,3,3,0.47908993427641183,0.7354013728197443
MMP0133,xs,-0.2324806977333681,-0.5399017414751256,0.3074210437417575,3,3,0.36253906839565775,0.6833114425965802
MMP0135,xs,0.1030302898682271,-0.021759498711292208,0.1247897885795193,3,3,0.7973682714159485,0.9156020008667118
MMP0136,xs,0.14691201686633015,-0.1682738625141864,0.31518587938051656,3,3,0.7108973196845917,0.8755071316217363
MMP0137,xs,-0.17077017722472132,0.5901547051064193,-0.7609248823311406,3,2,0.37799043075630323,0.6866212075309207
MMP0141,xs,0.9540709644769043,-0.22783630767087876,1.181907272147783,3,2,0.13673653056211119,0.49874569246135775
MMP0148,xs,-0.19088494689060298,-0.7488005162703016,0.5579155693796987,3,3,0.6886286229681357,0.8601193639137488
MMP0151,xs,-0.7809344974380191,-0.15183476168390989,-0.6290997357541093,2,2,0.6820352913094281,0.8551945103465367
MMP0153,xs,0.06112761481946858,2.3593491455185607,-2.298221530699092,3,2,0.17459313089392822,0.524863822066219
MMP0154,xs,-1.022665556293742,1.4009992211260573,-2.4236647774197992,3,3,0.06324550451050258,0.4001414925893235
MMP0156,xs,0.08159807110305696,-1.0894236995466438,1.1710217706497008,3,3,0.013940878355689117,0.2998837832957126
MMP0157,xs,-0.03777486965270538,0.7216719079467484,-0.7594467775994538,3,2,0.1497133169063629,0.5089720356990696
MMP0163,xs,-0.9338629308434617,-1.1898991894685882,0.25603625862512647,3,3,0.10229786711827912,0.4648811461820055
MMP0164,xs,0.35304268402087374,-0.46771672216301585,0.8207594061838897,3,3,0.47151680834742477,0.731455561667159
MMP0166,xs,-0.7683685546563139,-1.070809341797099,0.30244078714078504,2,2,0.5856861244654981,0.8110789248678143
MMP0167,xs,0.6680535181561957,0.26156167704787303,0.4064918411083227,3,3,0.4287933176523065,0.7131820128650046
MMP0168,xs,0.012232411409274585,0.4652142469211901,-0.4529818355119155,3,3,0.4364666388765788,0.7155564213461237
MMP0176,xs,0.8166039763693919,0.09261349011090132,0.7239904862584905,3,3,0.043357899725392335,0.36509971521511836
MMP0177,xs,0.03567908870834232,1.68926451888716,-1.6535854301788178,3,1,,
MMP0178,xs,0.7151670381339877,-0.5172966136063343,1.232463651740322,3,3,0.22638994553853056,0.5870942519691559
MMP0179,xs,-0.4858280619189728,0.2824020385870856,-0.7682301005060584,3,3,0.30640042120368055,0.6433744202281189
MMP0180,xs,0.35317767298379166,0.5158819446814101,-0.16270427169761847,2,3,0.8630684951425136,0.9429461662505114
MMP0181,xs,0.06338827305671528,0.640646489422265,-0.5772582163655497,2,2,0.28959495375183475,0.6285379265286458
MMP0183,xs,0.3443104552584417,0.5528923819574779,-0.2085819266990362,3,3,0.7463552513449336,0.8929838937136542
