label,p_value_formate,fdr_formate,description,category,venn_region,p_value_phosphate,fdr_phosphate
Cytoplasm [Component],,,Cytoplasm,Component,phosphate_only,1.67e-05,0.002
Oxidoreductase [Keyword],,,Oxidoreductase,Keyword,phosphate_only,2.05e-05,0.0017
Iron-sulfur cluster binding [Function],,,Iron-sulfur cluster binding,Function,phosphate_only,2.51e-05,0.0047
Ribonucleotide metabolic process [Process],,,Ribonucleotide metabolic process,Process,phosphate_only,2.88e-05,0.00057
"Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Transcription preinitiation complex [NetworkNeighborAL]",,,"Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Transcription preinitiation complex",NetworkNeighborAL,phosphate_only,3.02e-05,0.00056
Nucleotide metabolic process [Process],,,Nucleotide metabolic process,Process,phosphate_only,3.09e-05,0.0006
Alpha-amino acid biosynthetic process [Process],,,Alpha-amino acid biosynthetic process,Process,phosphate_only,3.83e-05,0.00071
Branched-chain amino acid metabolic process [NetworkNeighborAL],,,Branched-chain amino acid metabolic process,NetworkNeighborAL,phosphate_only,4.96e-05,0.0008
Heterocycle biosynthetic process [Process],,,Heterocycle biosynthetic process,Process,phosphate_only,5.71e-05,0.001
Branched-chain amino acid biosynthetic process [Process],,,Branched-chain amino acid biosynthetic process,Process,phosphate_only,6.2e-05,0.0011
"Mixed, incl. Oxidoreductase activity, acting on hydrogen as donor, and Selenocysteine [NetworkNeighborAL]",,,"Mixed, incl. Oxidoreductase activity, acting on hydrogen as donor, and Selenocysteine",NetworkNeighborAL,phosphate_only,6.8e-05,0.001
Organophosphate biosynthetic process [Process],,,Organophosphate biosynthetic process,Process,phosphate_only,7.2e-05,0.0012
Carbohydrate derivative metabolic process [Process],,,Carbohydrate derivative metabolic process,Process,phosphate_only,0.00011,0.0018
Cellular amino acid biosynthetic process [Process],,,Cellular amino acid biosynthetic process,Process,phosphate_only,0.00012,0.0019
Organic cyclic compound biosynthetic process [Process],,,Organic cyclic compound biosynthetic process,Process,phosphate_only,0.00013,0.002
Biosynthesis of amino acids [NetworkNeighborAL],,,Biosynthesis of amino acids,NetworkNeighborAL,phosphate_only,0.00015,0.0022
Cellular amino acid metabolic process [Process],,,Cellular amino acid metabolic process,Process,phosphate_only,0.00016,0.0025
Methanogenesis [Keyword],,,Methanogenesis,Keyword,phosphate_only,0.00018,0.0096
Purine ribonucleotide biosynthetic process [Process],,,Purine ribonucleotide biosynthetic process,Process,phosphate_only,0.00019,0.0029
IMP biosynthetic process [Process],,,IMP biosynthetic process,Process,phosphate_only,0.0002,0.0029
"Ligase activity, forming carbon-nitrogen bonds [Function]",,,"Ligase activity, forming carbon-nitrogen bonds",Function,phosphate_only,0.0002,0.0188
Small molecule binding [Function],,,Small molecule binding,Function,phosphate_only,0.00023,0.0188
Small molecule biosynthetic process [Process],,,Small molecule biosynthetic process,Process,phosphate_only,0.00024,0.0034
"Oxidoreductase activity, acting on hydrogen as donor [Function]",,,"Oxidoreductase activity, acting on hydrogen as donor",Function,phosphate_only,0.00025,0.0188
Aromatic compound biosynthetic process [Process],,,Aromatic compound biosynthetic process,Process,phosphate_only,0.00026,0.0036
Purine biosynthesis [NetworkNeighborAL],,,Purine biosynthesis,NetworkNeighborAL,phosphate_only,0.00031,0.0044
"Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Type II secretion system (T2SS), protein F [NetworkNeighborAL]",,,"Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Type II secretion system (T2SS), protein F",NetworkNeighborAL,phosphate_only,0.00031,0.0044
"Methanogenesis, from carbon dioxide [Process]",,,"Methanogenesis, from carbon dioxide",Process,phosphate_only,0.00031,0.0042
Sulfur compound biosynthetic process [Process],,,Sulfur compound biosynthetic process,Process,phosphate_only,0.00034,0.0044
"Valine, leucine and isoleucine biosynthesis [KEGG]",,,"Valine, leucine and isoleucine biosynthesis",KEGG,phosphate_only,0.0004,0.0036
