Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0034,i,1,,0.69460632,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,i,3,,2.683584457,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,f,3,,0.621584699,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,exp,1,,4.165004532,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,exp,2,,1.625476154,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0034,exp,3,,0.602143482,Anabolism,Miscellaneous biosynthesis,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),Queuosine-Archaeosine Biosynthesis,yes
MMP0038,f,3,,3.107923498,Other,Other/unassigned,Uncharacterized protein,Widespread colonization island,yes
MMP0038,exp,1,,0.0,Other,Other/unassigned,Uncharacterized protein,Widespread colonization island,yes
MMP0038,exp,2,,1.625476155,Other,Other/unassigned,Uncharacterized protein,Widespread colonization island,yes
MMP0039,f,2,,3.014154281,Catabolism,Methanogenesis,Uncharacterized protein,Methanogenesis,yes
MMP0039,f,3,,3.107923498,Catabolism,Methanogenesis,Uncharacterized protein,Methanogenesis,yes
MMP0039,exp,2,,0.812738077,Catabolism,Methanogenesis,Uncharacterized protein,Methanogenesis,yes
MMP0040,xs,1,,3.977767814,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
MMP0040,xs,2,,6.494922279,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
MMP0040,xs,3,,11.60972123,Other,Other/unassigned,Type II secretion system protein putative subunit 1,Inteins; <br>Inteins,yes
